	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187129	247824	133992	473637	844163	1075544
SRZ187130	922174	497464	1614384	2468136	812116
SRZ187131	705944	231720	1345698	1762110	1030600
SRZ187132	333888	300124	423979	892680	354121
SRZ187133	925311	264601	1206242	2186163	444917
SRZ187134	647455	256241	1185632	1582827	1017338
SRZ187135	862825	582068	1569536	1900524	1022213
SRZ187136	1584665	331629	2005352	2966045	1250702
SRZ187137	281620	147384	503790	786967	1368161
SRZ187138	789340	432369	1181907	1428197	658959
SRZ187139	929561	230513	1563620	2316022	592819
SRZ187140	2566128	550678	5597310	7198791	1579209
SRZ187141	265606	124075	196995	444668	237676
SRZ187142	1323140	307450	1944726	3245624	471618
SRZ187143	859460	229497	1784103	1837704	534281
SRZ187144	604255	312560	694396	850929	563258
SRZ187145	2042015	401044	4290738	8364584	375457
SRZ187146	2457804	343647	1672712	2491535	561828
SRZ187147	578797	363206	825238	1208123	409359
SRZ187148	1259514	248742	1922406	3310365	288762
SRZ187149	599524	150545	711011	989958	223035
SRZ187150	717672	586363	1214433	1337505	686023
SRZ187151	1431323	438127	3097746	4125060	859004
SRZ187152	1588687	500498	3208695	4064985	984371
SRZ187153	1307709	749190	1910239	2256427	1535471
SRZ187154	919269	374931	1880407	2980918	526725
SRZ187155	1584877	408255	3000155	5017503	913693
SRZ187156	2210638	722154	2896205	5095488	1065980
SRZ187157	1589046	411466	3151458	4802654	566099
SRZ187158	943762	195505	1697059	1834767	432584
SRZ187159	580942	343914	1287645	1434166	658102
SRZ187160	527316	187975	873968	1342746	105047
SRZ187161	1709923	587740	2345377	4671197	573035
SRZ187162	693509	476239	1405955	1744459	509329
SRZ187163	541884	328594	1110260	1440829	192380
SRZ187164	882699	361641	989016	1496844	514156
SRZ187165	985258	701586	2093576	2382689	1007428
SRZ187166	1935337	179903	2712262	5723730	169374
SRZ187167	1707894	426534	3492085	5028699	5283156
SRZ187168	980277	626503	2085486	2640450	1047169
SRZ187169	1932775	295190	3129520	6565759	193568
SRZ187170	1076011	296131	1909064	2223251	986627
SRZ187171	682541	599692	1480898	1784719	628121
SRZ187172	1733973	754238	2894880	4700880	754348
SRZ187173	1778517	440026	3624415	6278761	1021471
SRZ187174	1659588	739565	1702759	2275107	942910
SRZ187175	1078538	160326	1670626	3473793	127464
SRZ187176	1225835	321595	1935951	2616126	3770374
SRZ187177	869077	507618	1629172	2158243	847054
SRZ187178	1241979	216120	1464817	2664286	196611
SRZ187179	945273	444314	2535996	3844752	2076177
SRZ187180	604865	517005	1223168	1573905	616329
SRZ187181	1194183	262053	1860334	2786577	503647
SRZ187182	1146233	323652	1772055	3088977	1712646
SRZ187183	894388	606925	1766043	2281408	806442
SRZ187184	1612872	240561	2307668	5500788	147460
SRZ187185	690866	526650	1267462	1782870	832044
SRZ187186	644092	515790	1603491	1877113	711492
SRZ187187	1214758	294614	2139736	3582618	464087
SRZ187188	1265420	533554	1565908	2533416	1201199
SRZ187189	742886	460877	1129105	1650707	582449
SRZ187190	1351324	265058	2024443	3752763	344545
SRZ187191	828587	366230	2017816	3215734	2485162
SRZ187192	308539	216232	396369	570111	273035
SRZ187193	1352224	202820	2305528	4580969	141290
SRZ187194	839476	303627	1605889	2576977	463514
SRZ187195	2839396	1473933	4961568	7538725	1820247
SRZ187196	1374750	238148	2626545	4801303	161148
SRZ187197	933479	360442	2664996	4407480	620459
SRZ187198	1558187	1232919	3780852	4904397	3403453
SRZ187199	2487559	349345	4143037	7799684	365943
SRZ187200	2924011	713970	5532279	7134037	2394628
SRZ187201	1144945	971789	2459999	3535859	1019294
SRZ187202	2832614	736754	3701510	6900300	1293248
SRZ187203	2742455	741072	3759527	7039208	1338900
SRZ187204	931597	678743	1578730	2814881	600715
SRZ187206	456876	159229	1140217	1380585	91776
SRZ187207	1083568	514086	3764211	7727543	1087370
SRZ187208	990097	408616	4042675	8880127	1356506
SRZ187209	1917960	727976	3516106	9090171	1334464
SRZ187210	1411544	510799	3333703	5949501	1095032
SRZ187211	650817	397513	1716644	3236359	677164
SRZ187212	3434997	480995	1876658	3521222	486325
SRZ187213	1632422	752592	2062736	3972127	1011146
SRZ187214	2435397	702747	2331001	4993485	1124828
SRZ187215	3141042	744841	4137647	8908404	1382851
SRZ187216	1752254	623939	2641061	5275944	891899
SRZ187217	2027664	755407	2863946	5087609	1027429
SRZ187218	1443506	412887	4037042	7985620	805926
SRZ187219	1391632	460561	2714579	6693077	906689
SRZ187220	674358	363157	911902	1541377	448345
SRZ187221	607320	326337	982625	1405030	386662
SRZ187222	912397	487618	1313717	2111887	546693
SRZ187223	491218	298737	505122	887782	303314
SRZ187224	972360	484221	1683860	3296771	577147
SRZ187225	851860	410714	1741153	3349262	599653
SRZ187226	1061246	402342	2056388	4058820	690824
SRZ187227	665380	397008	1946812	2198234	662284
SRZ187228	816204	527071	1102531	2977565	737071
SRZ187229	813617	326140	1444599	5476110	512317
SRZ187230	2271873	414399	3661683	7058476	851762
SRZ187231	1862139	1187955	1368817	2606472	639114
SRZ187232	2203968	659208	3480251	6449384	1258016
SRZ187233	1358720	570132	1777570	3240862	684388
SRZ187234	1717581	708365	2795518	7446117	632137
SRZ187235	1364159	667288	2401198	6258188	553936
SRZ187236	566114	269234	468933	646690	1857356
SRZ187237	513968	468122	1222482	1182805	868568
SRZ187238	446009	486889	1684937	2042450	987159
SRZ187239	1499025	513590	1788604	2544678	1645919
