	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187615	121314	50652.0	347152.0	530920.0	877534.0
SRZ187616	138206	88038.0	267566.0	497788.0	1304962.0
SRZ187617	184182	100514.0	373522.0	616106.0	1577768.0
SRZ187618	135956	48194.0	181032.0	378732.0	676730.0
SRZ187619	146382	63762.0	240338.0	547528.0	1051588.0
SRZ187620	138968	60318.0	294196.0	588756.0	1106910.0
SRZ187621	118514	160682.0	180084.0	429954.0	1196738.0
SRZ187622	55858	52460.0	302072.0	1026320.0	120900.0
SRZ187623	146844	96838.0	898568.0	2093102.0	174326.0
SRZ187624	166054	66326.0	217288.0	484468.0	1251642.0
SRZ187625	111464	42096.0	194154.0	283318.0	733630.0
SRZ187626	90540	42492.0	171426.0	297538.0	611112.0
SRZ187627	249762	165882.0	529414.0	1110272.0	1809628.0
SRZ187628	128784	67784.0	306948.0	612152.0	985658.0
SRZ187629	118864	62802.0	206984.0	314946.0	984946.0
SRZ187630	104120	41592.0	223434.0	363106.0	909086.0
SRZ187631	108002	38094.0	193210.0	281934.0	777554.0
SRZ187632	1157930	340680.0	660020.0	1291110.0	738710.0
SRZ187633	2100356	472168.0	498388.0	1105980.0	972608.0
SRZ187634	1104746	243234.0	200958.0	415640.0	390656.0
SRZ187635	516262	122086.0	59972.0	123146.0	213332.0
SRZ187636	1937972	262948.0	279672.0	528310.0	432756.0
SRZ187637	2387344	277400.0	343312.0	709010.0	566574.0
SRZ187638	3089766	218902.0	729048.0	1480368.0	371552.0
SRZ187639	1008276	248462.0	645334.0	1780020.0	576710.0
SRZ187640	2268958	133140.0	436052.0	939742.0	268542.0
SRZ187641	956334	109734.0	248344.0	759182.0	238384.0
SRZ187642	1490482	276440.0	794038.0	1906180.0	600916.0
SRZ187643	1012962	355076.0	1167294.0	2998520.0	927664.0
SRZ187644	807020	200532.0	771776.0	1684736.0	236882.0
SRZ187645	220252	90614.0	421604.0	947106.0	117336.0
SRZ187646	128810	83838.0	316680.0	825396.0	69438.0
SRZ187647	123270	87518.0	295464.0	859526.0	60250.0
SRZ187648	416	2812.0	1102.0	1608.0	492.0
SRZ187649	3830	8916.0	10322.0	16978.0	4422.0
SRZ187650	3366	2004.0	2170.0	2610.0	106.0
SRZ187651	3226	1412.0	1138.0	1568.0	320.0
SRZ187652	3030	3082.0	1244.0	1338.0	1080.0
SRZ187653	2336				
SRZ187654	2518	5834.0	5710.0	5880.0	988.0
SRZ187655	30826	30848.0	69200.0	178494.0	21734.0
SRZ187656	7886	4918.0	6748.0	9094.0	2148.0
SRZ187657	427008	198476.0	633292.0	1725858.0	271140.0
SRZ187658	267814	153660.0	466386.0	1190786.0	188632.0
SRZ187659	2439434	1049042.0	3729284.0	9359854.0	2569246.0
SRZ187660	3481004	1500894.0	6618726.0	17071646.0	4006436.0
SRZ187661	999008	460374.0	2233114.0	5420968.0	1003688.0
SRZ187662	51058	25854.0	188284.0	509140.0	29734.0
SRZ187663	117360	50416.0	233014.0	649970.0	62482.0
SRZ187664	73434	19622.0	184942.0	341464.0	23212.0
SRZ187665	73562	29194.0	145996.0	358622.0	25196.0
SRZ187666	108636	45614.0	327270.0	735072.0	165382.0
SRZ187667	289260	116468.0	678184.0	1587284.0	364410.0
SRZ187668	1438212	338398.0	792624.0	1510262.0	488124.0
SRZ187669	1521120	267118.0	833842.0	1429510.0	375540.0
SRZ187670	1571060	243732.0	810574.0	1648582.0	403514.0
SRZ187671	2299334	342942.0	1082716.0	2152122.0	599356.0
SRZ187672	1945452	311304.0	965448.0	2020746.0	586922.0
SRZ187673	1486978	324020.0	763524.0	1907538.0	634532.0
SRZ187674	1922760	173796.0	320350.0	615028.0	338956.0
SRZ187675	1900342	190860.0	310834.0	558384.0	300402.0
SRZ187676	1917314	222038.0	318058.0	627366.0	356174.0
SRZ187677	380612	87916.0	781812.0	2052114.0	248102.0
SRZ187678	512806	89430.0	512926.0	970154.0	262282.0
SRZ187679	300554	49994.0	429044.0	1010066.0	192292.0
SRZ187680	508694	221668.0	1547604.0	3810954.0	603192.0
SRZ187681	493090	159940.0	1453050.0	3770570.0	559366.0
SRZ187682	266380	94602.0	634846.0	1976206.0	264698.0
SRZ187683	254702	141426.0	785138.0	2004374.0	267692.0
SRZ187684	6356466	2468374.0	20367216.0	42324620.0	9664244.0
SRZ187685	108230	66240.0	209842.0	464068.0	93760.0
